"Tabela 9888 - População residente, Área territorial e Densidade demográfica em favelas e comunidades urbanas, segundo as Favelas e Comunidades Urbanas"
"Variável - População residente em favelas e comunidades urbanas (Pessoas)"
"Brasil, Favela e Comunidade Urbana 2022 e Município";"Ano"
"Lauro de Freitas (BA)";"42079"
"Madre de Deus (BA)";"736"
"Porto Seguro (BA)";"753"
"Salvador (BA)";"1033258"
"Santo Amaro (BA)";"1927"
"Santo Antônio de Jesus (BA)";"5906"
"São Francisco do Conde (BA)";"5908"
"Simões Filho (BA)";"7940"
"Teixeira de Freitas (BA)";"2678"
"Tucano (BA)";"333"
"Valença (BA)";"6454"
"Vera Cruz (BA)";"7988"
"Além Paraíba (MG)";"7246"
"Almenara (MG)";"320"
"Bandeira (MG)";"464"
"Barbacena (MG)";"2451"
"Belo Horizonte (MG)";"307729"
"Belo Oriente (MG)";"1971"
"Betim (MG)";"54009"
"Bom Jesus do Galho (MG)";"1955"
"Conceição das Alagoas (MG)";"600"
"Conselheiro Lafaiete (MG)";"281"
"Contagem (MG)";"46791"
"Coronel Fabriciano (MG)";"21313"
"Curvelo (MG)";"243"
"Delta (MG)";"821"
"Diamantina (MG)";"7612"
"Divinópolis (MG)";"2133"
"Esmeraldas (MG)";"5235"
"Estrela Dalva (MG)";"137"
"Governador Valadares (MG)";"15939"
"Ibirité (MG)";"29426"
"Igarapé (MG)";"1544"
"Ipatinga (MG)";"26718"
"Itabira (MG)";"3355"
"Itabirito (MG)";"1910"
"Itajubá (MG)";"953"
"Itambacuri (MG)";"537"
"Itatiaiuçu (MG)";"95"
"Itaúna (MG)";"394"
"Jaíba (MG)";"1009"
"Januária (MG)";"565"
"Juatuba (MG)";"268"
"Juiz de Fora (MG)";"16728"
"Mariana (MG)";"5505"
"Matias Barbosa (MG)";"231"
"Matozinhos (MG)";"439"
"Montes Claros (MG)";"18078"
"Nova Lima (MG)";"7244"
"Passos (MG)";"1521"
"Pedra Azul (MG)";"581"
"Pedro Leopoldo (MG)";"2245"
"Pirapetinga (MG)";"443"
"Pocrane (MG)";"158"
"Porteirinha (MG)";"1310"
"Prata (MG)";"513"
"Ribeirão das Neves (MG)";"33034"
"Rio Acima (MG)";"350"
"Sabará (MG)";"7131"
"Santa Luzia (MG)";"24046"
"Santa Rita do Sapucaí (MG)";"249"
"São Joaquim de Bicas (MG)";"1106"
"São José da Lapa (MG)";"816"
"Sarzedo (MG)";"273"
"Sete Lagoas (MG)";"312"
"Teófilo Otoni (MG)";"7916"
"Timóteo (MG)";"9648"
"Uberaba (MG)";"4089"
"Uberlândia (MG)";"32033"
"Vespasiano (MG)";"19312"
"Viçosa (MG)";"597"
"Afonso Cláudio (ES)";"1850"
"Água Doce do Norte (ES)";"217"
"Alegre (ES)";"1673"
"Alto Rio Novo (ES)";"654"
"Anchieta (ES)";"1476"
"Aracruz (ES)";"4600"
"Atílio Vivácqua (ES)";"1292"
"Baixo Guandu (ES)";"4759"
"Barra de São Francisco (ES)";"10762"
"Bom Jesus do Norte (ES)";"2220"
"Cachoeiro de Itapemirim (ES)";"37019"
"Cariacica (ES)";"96413"
"Castelo (ES)";"370"
"Colatina (ES)";"25612"
"Conceição da Barra (ES)";"2819"
"Conceição do Castelo (ES)";"541"
"Ecoporanga (ES)";"3249"
"Fundão (ES)";"3026"
"Guaçuí (ES)";"1483"
"Guarapari (ES)";"31171"
"Ibatiba (ES)";"791"
"Itaguaçu (ES)";"842"
"Itapemirim (ES)";"3883"
"Iúna (ES)";"2037"
"Jaguaré (ES)";"1689"
"João Neiva (ES)";"180"
"Linhares (ES)";"14455"
"Marataízes (ES)";"8568"
"Marechal Floriano (ES)";"311"
"Montanha (ES)";"118"
"Muqui (ES)";"169"
"Nova Venécia (ES)";"2064"
"Pancas (ES)";"3123"
"Pedro Canário (ES)";"55"
"Pinheiros (ES)";"1548"
"Piúma (ES)";"2282"
"Rio Novo do Sul (ES)";"1749"
"Santa Maria de Jetibá (ES)";"159"
"Santa Teresa (ES)";"635"
"São Domingos do Norte (ES)";"833"
"São Gabriel da Palha (ES)";"259"
"São José do Calçado (ES)";"927"
"São Mateus (ES)";"23258"
"São Roque do Canaã (ES)";"910"
"Serra (ES)";"113048"
"Viana (ES)";"18398"
"Vila Valério (ES)";"176"
"Vila Velha (ES)";"91847"
"Vitória (ES)";"72857"
"Angra dos Reis (RJ)";"71382"
"Araruama (RJ)";"22661"
"Armação dos Búzios (RJ)";"1538"
"Arraial do Cabo (RJ)";"10476"
"Barra do Piraí (RJ)";"2965"
"Barra Mansa (RJ)";"7052"
"Belford Roxo (RJ)";"46851"
"Cabo Frio (RJ)";"46474"
"Cachoeiras de Macacu (RJ)";"3719"
"Campos dos Goytacazes (RJ)";"13589"
"Cardoso Moreira (RJ)";"163"
"Casimiro de Abreu (RJ)";"4844"
"Conceição de Macabu (RJ)";"471"
"Duque de Caxias (RJ)";"70181"
"Engenheiro Paulo de Frontin (RJ)";"135"
"Iguaba Grande (RJ)";"141"
"Itaboraí (RJ)";"4612"
"Itaguaí (RJ)";"9329"
"Itatiaia (RJ)";"6560"
"Japeri (RJ)";"3233"
"Macaé (RJ)";"49832"
"Magé (RJ)";"20676"
"Mangaratiba (RJ)";"6282"
"Maricá (RJ)";"12704"
"Mendes (RJ)";"583"
"Mesquita (RJ)";"1954"
"Nilópolis (RJ)";"5380"
"Niterói (RJ)";"86983"
"Nova Friburgo (RJ)";"5927"
"Nova Iguaçu (RJ)";"22344"
"Paracambi (RJ)";"3870"
"Petrópolis (RJ)";"43019"
"Pinheiral (RJ)";"470"
"Piraí (RJ)";"2686"
"Queimados (RJ)";"8980"
"Resende (RJ)";"783"
"Rio Bonito (RJ)";"848"
"Rio Claro (RJ)";"1435"
"Rio das Ostras (RJ)";"10451"
"Rio de Janeiro (RJ)";"1349942"
"São Francisco de Itabapoana (RJ)";"1753"
"São Gonçalo (RJ)";"39956"
"São João da Barra (RJ)";"200"
"São João de Meriti (RJ)";"38013"
"São Pedro da Aldeia (RJ)";"5475"
"Saquarema (RJ)";"1955"
"Seropédica (RJ)";"1894"
"Silva Jardim (RJ)";"799"
"Tanguá (RJ)";"469"
"Teresópolis (RJ)";"51371"
"Valença (RJ)";"4151"
"Vassouras (RJ)";"216"
"Volta Redonda (RJ)";"34617"
"Americana (SP)";"481"
"Amparo (SP)";"359"
"Arujá (SP)";"1368"
"Atibaia (SP)";"5404"
"Avaré (SP)";"170"
"Bananal (SP)";"850"
"Barueri (SP)";"8717"
"Bauru (SP)";"6310"
"Bertioga (SP)";"16409"
"Biritiba Mirim (SP)";"2400"
"Botucatu (SP)";"602"
"Bragança Paulista (SP)";"223"
"Cabreúva (SP)";"950"
"Caçapava (SP)";"343"
"Caieiras (SP)";"6850"
"Cajamar (SP)";"11071"
"Campinas (SP)";"140784"
"Campo Limpo Paulista (SP)";"3329"
"Campos do Jordão (SP)";"9063"
"Capivari (SP)";"757"
"Caraguatatuba (SP)";"5601"
"Carapicuíba (SP)";"60562"
"Cordeirópolis (SP)";"359"
"Cosmópolis (SP)";"1652"
"Cotia (SP)";"11123"
"Cruzeiro (SP)";"1109"
"Cubatão (SP)";"36724"
"Diadema (SP)";"87887"
"Embu das Artes (SP)";"53292"
"Embu-Guaçu (SP)";"902"
"Ferraz de Vasconcelos (SP)";"30629"
"Francisco Morato (SP)";"22646"
"Franco da Rocha (SP)";"14726"
"Guaratinguetá (SP)";"1011"
"Guarujá (SP)";"106010"
"Guarulhos (SP)";"215969"
"Hortolândia (SP)";"4223"
"Ibirarema (SP)";"268"
"Ibiúna (SP)";"1252"
"Ilhabela (SP)";"6833"
"Itanhaém (SP)";"554"
"Itapecerica da Serra (SP)";"14140"
"Itapevi (SP)";"13911"
"Itaquaquecetuba (SP)";"91317"
"Itirapina (SP)";"757"
"Itu (SP)";"3245"
"Jacareí (SP)";"6365"
"Jandira (SP)";"4974"
"Jundiaí (SP)";"17999"
"Lorena (SP)";"1025"
"Louveira (SP)";"246"
"Mairinque (SP)";"572"
"Mairiporã (SP)";"3470"
"Marília (SP)";"3190"
"Mauá (SP)";"115251"
"Mogi das Cruzes (SP)";"17634"
"Osasco (SP)";"98207"
"Pederneiras (SP)";"158"
"Peruíbe (SP)";"277"
"Pindamonhangaba (SP)";"148"
"Piracicaba (SP)";"10863"
"Pirapora do Bom Jesus (SP)";"2978"
"Poá (SP)";"2040"
"Porto Ferreira (SP)";"1234"
"Praia Grande (SP)";"21315"
"Presidente Epitácio (SP)";"96"
"Ribeirão Pires (SP)";"4678"
"Ribeirão Preto (SP)";"23781"
"Rio Claro (SP)";"546"
"Rio Grande da Serra (SP)";"5195"
"Salto (SP)";"335"
"Santa Cruz do Rio Pardo (SP)";"995"
"Santana de Parnaíba (SP)";"3790"
"Santo André (SP)";"99201"
"Santos (SP)";"46262"
"São Bernardo do Campo (SP)";"158245"
"São Carlos (SP)";"798"
"São José dos Campos (SP)";"6497"
"São Paulo (SP)";"1728235"
"São Pedro (SP)";"1557"
"São Roque (SP)";"2521"
"São Sebastião (SP)";"24706"
"São Vicente (SP)";"85651"
"Sorocaba (SP)";"12433"
"Sumaré (SP)";"11138"
"Suzano (SP)";"21126"
"Tabatinga (SP)";"154"
"Taboão da Serra (SP)";"42031"
"Tremembé (SP)";"2788"
"Ubatuba (SP)";"16424"
"Várzea Paulista (SP)";"15411"
"Votorantim (SP)";"4919"
"Almirante Tamandaré (PR)";"28213"
"Apucarana (PR)";"284"
"Araucária (PR)";"13872"
"Bocaiúva do Sul (PR)";"2378"
"Cambé (PR)";"386"
"Campina Grande do Sul (PR)";"5389"
"Campo Largo (PR)";"9379"
"Campo Magro (PR)";"6490"
"Candói (PR)";"386"
"Cascavel (PR)";"7154"
"Castro (PR)";"6898"
"Colombo (PR)";"21304"
"Contenda (PR)";"1415"
"Curitiba (PR)";"122695"
"Fazenda Rio Grande (PR)";"2191"
"Foz do Iguaçu (PR)";"22843"
"Francisco Beltrão (PR)";"4541"
"Guarapuava (PR)";"4655"
"Inácio Martins (PR)";"294"
"Irati (PR)";"1368"
"Itaperuçu (PR)";"4409"
"Jataizinho (PR)";"910"
"Londrina (PR)";"10392"
"Mandirituba (PR)";"1473"
"Matinhos (PR)";"2763"
"Paranaguá (PR)";"68839"
"Pato Branco (PR)";"1158"
"Pinhais (PR)";"1705"
"Pinhão (PR)";"1337"
"Piraquara (PR)";"22581"
"Ponta Grossa (PR)";"23961"
"Pontal do Paraná (PR)";"1084"
"Quatro Barras (PR)";"2498"
"Rio Branco do Sul (PR)";"10179"
"Rolândia (PR)";"57"
"São José dos Pinhais (PR)";"20488"
"Telêmaco Borba (PR)";"4174"
"Turvo (PR)";"599"
"Umuarama (PR)";"412"
"União da Vitória (PR)";"825"
"Vitorino (PR)";"140"
"Araquari (SC)";"773"
"Balneário Camboriú (SC)";"1194"
"Biguaçu (SC)";"3448"
"Blumenau (SC)";"18351"
"Braço do Norte (SC)";"503"
"Camboriú (SC)";"125"
"Chapecó (SC)";"2995"
"Coronel Freitas (SC)";"335"
"Dionísio Cerqueira (SC)";"556"
"Florianópolis (SC)";"43046"
"Gaspar (SC)";"1411"
"Herval d'Oeste (SC)";"694"
"Ilhota (SC)";"314"
"Itajaí (SC)";"3620"
"Joinville (SC)";"3103"
"Lages (SC)";"3222"
"Laguna (SC)";"3719"
"Navegantes (SC)";"2515"
"Palhoça (SC)";"8135"
"Balneário Piçarras (SC)";"194"
"São José (SC)";"7227"
"São Miguel do Oeste (SC)";"216"
"Tubarão (SC)";"3435"
"Turvo (SC)";"103"
"Alegrete (RS)";"883"
"Alvorada (RS)";"11355"
"Arroio do Sal (RS)";"334"
"Bagé (RS)";"1132"
"Bento Gonçalves (RS)";"6419"
"Cachoeira do Sul (RS)";"283"
"Cachoeirinha (RS)";"9463"
"Camaquã (RS)";"2226"
"Campo Bom (RS)";"693"
"Candiota (RS)";"118"
"Canela (RS)";"1433"
"Canguçu (RS)";"569"
"Canoas (RS)";"7833"
"Capão da Canoa (RS)";"8163"
"Capão do Leão (RS)";"1910"
"Carazinho (RS)";"2826"
"Caxias do Sul (RS)";"22938"
"Cristal (RS)";"741"
"Eldorado do Sul (RS)";"4070"
"Erechim (RS)";"1137"
"Estância Velha (RS)";"360"
"Esteio (RS)";"2660"
"Farroupilha (RS)";"1559"
"Gravataí (RS)";"11191"
"Guaíba (RS)";"13882"
"Igrejinha (RS)";"215"
"Imbé (RS)";"1022"
"Montenegro (RS)";"1389"
"Nova Hartz (RS)";"617"
"Novo Hamburgo (RS)";"23632"
"Osório (RS)";"1354"
"Palmares do Sul (RS)";"265"
"Parobé (RS)";"1296"
"Passo Fundo (RS)";"4119"
"Pelotas (RS)";"36677"
"Portão (RS)";"1594"
"Porto Alegre (RS)";"175519"
"Rio Grande (RS)";"5022"
"Santa Maria (RS)";"3232"
"Santa Rosa (RS)";"81"
"Santo Antônio da Patrulha (RS)";"629"
"São Borja (RS)";"353"
"São Leopoldo (RS)";"15590"
"Sapiranga (RS)";"2546"
"Sapucaia do Sul (RS)";"1565"
"Tapes (RS)";"528"
"Taquara (RS)";"987"
"Torres (RS)";"137"
"Tramandaí (RS)";"8334"
"Três Coroas (RS)";"143"
"Uruguaiana (RS)";"7576"
"Viamão (RS)";"7093"
"Xangri-lá (RS)";"841"
"Aquidauana (MS)";"1869"
"Campo Grande (MS)";"7862"
"Corumbá (MS)";"1848"
"Dourados (MS)";"1965"
"Novo Horizonte do Sul (MS)";"189"
"Ponta Porã (MS)";"1583"
"Sidrolândia (MS)";"535"
"Três Lagoas (MS)";"827"
"Cáceres (MT)";"145"
"Cuiabá (MT)";"72415"
"Rondonópolis (MT)";"488"
"Sinop (MT)";"610"
"Várzea Grande (MT)";"8237"
"Abadia de Goiás (GO)";"381"
"Águas Lindas de Goiás (GO)";"10303"
"Anápolis (GO)";"7477"
"Aparecida de Goiânia (GO)";"8222"
"Aragarças (GO)";"713"
"Caldas Novas (GO)";"3338"
"Cocalzinho de Goiás (GO)";"978"
"Cristalina (GO)";"1814"
"Goiânia (GO)";"25616"
"Guapó (GO)";"297"
"Itaberaí (GO)";"780"
"Jataí (GO)";"1130"
"Luziânia (GO)";"4295"
"Mineiros (GO)";"693"
"Novo Gama (GO)";"12223"
"Padre Bernardo (GO)";"2439"
"Planaltina (GO)";"2604"
"Rio Verde (GO)";"1195"
"Santo Antônio do Descoberto (GO)";"1867"
"Senador Canedo (GO)";"2466"
"Silvânia (GO)";"1241"
"Uruaçu (GO)";"436"
"Valparaíso de Goiás (GO)";"3832"
"Vila Propício (GO)";"174"
"Brasília (DF)";"198769"
"Avenida 07 de Setembro - Cacoal (RO)";"51"
"Vitória - Cacoal (RO)";"492"
"Santa Luzia - Guajará-Mirim (RO)";"630"
"Nossa Senhora de Fátima - Guajará-Mirim (RO)";"539"
"Jardim das Esmeraldas - Guajará-Mirim (RO)";"1060"
"Triângulo Novo - Guajará-Mirim (RO)";"714"
"Nova Esperança - Porto Velho (RO)";"1533"
"Aponiã A - Porto Velho (RO)";"2152"
"Areia Branca - Porto Velho (RO)";"1903"
"Baixa da União - Porto Velho (RO)";"346"
"Cidade Nova II - Porto Velho (RO)";"6702"
"Eletronorte - Porto Velho (RO)";"1076"
"Esperança da Comunidade - Porto Velho (RO)";"1430"
"Floresta III - Porto Velho (RO)";"721"
"Jardim Santana IV - Porto Velho (RO)";"695"
"Maringá - Porto Velho (RO)";"1557"
"Mato Grosso - Porto Velho (RO)";"321"
"Mocambo - Porto Velho (RO)";"624"
"Nacional - Porto Velho (RO)";"7697"
"Novo Horizonte - Porto Velho (RO)";"4176"
"Fora do Perímetro VI - Porto Velho (RO)";"2874"
"Planalto III - Porto Velho (RO)";"920"
"Cidade Jardim IV - Porto Velho (RO)";"846"
"Roque A - Porto Velho (RO)";"587"
"Roque III - Porto Velho (RO)";"567"
"São Sebastião III - Porto Velho (RO)";"635"
"Teixeirão - Porto Velho (RO)";"905"
"Três Marias II - Porto Velho (RO)";"737"
"Triângulo - Porto Velho (RO)";"1286"
"Tucumanzal - Porto Velho (RO)";"705"
"Cidade Jardim III - Porto Velho (RO)";"191"
"Caixa D'água - Porto Velho (RO)";"165"
"Cascalheira - Porto Velho (RO)";"645"
"Costa e Silva - Porto Velho (RO)";"1250"
"Jardim Santana III - Porto Velho (RO)";"546"
"Lagoa Azul - Porto Velho (RO)";"1261"
"Militão - Porto Velho (RO)";"1105"
"Fora do Perímetro II - Porto Velho (RO)";"1190"
"Jardim Santana II - Porto Velho (RO)";"1348"
"Castanheira I - Porto Velho (RO)";"572"
"Floresta II - Porto Velho (RO)";"1050"
"Cohab II - Porto Velho (RO)";"2389"
"Floresta I - Porto Velho (RO)";"1221"
"Cohab I - Porto Velho (RO)";"903"
"São Sebastião II - Porto Velho (RO)";"522"
"Cohab III - Porto Velho (RO)";"1017"
"São Sebastião I - Porto Velho (RO)";"690"
"Mariana B - Porto Velho (RO)";"3541"
"Planalto I - Porto Velho (RO)";"1480"
"Fora do Perímetro V - Porto Velho (RO)";"1988"
"Socialista II - Porto Velho (RO)";"2812"
"Socialista I - Porto Velho (RO)";"653"
"Roque I - Porto Velho (RO)";"61"
"Roque C - Porto Velho (RO)";"823"
"Roque II - Porto Velho (RO)";"361"
"Três Marias I - Porto Velho (RO)";"2455"
"Panair - Porto Velho (RO)";"124"
"Fora do Perímetro I - Porto Velho (RO)";"477"
"Planalto II - Porto Velho (RO)";"329"
"Fora do Perímetro III - Porto Velho (RO)";"642"
"Fora do Perímetro IV - Porto Velho (RO)";"191"
"Pantanal - Porto Velho (RO)";"720"
"Jardim Santana I - Porto Velho (RO)";"398"
"Socialista III - Porto Velho (RO)";"188"
"Socialista IV - Porto Velho (RO)";"258"
"Cidade Jardim I - Porto Velho (RO)";"421"
"Cidade Jardim II - Porto Velho (RO)";"635"
"São Francisco II - Porto Velho (RO)";"691"
"Marcos Freire - Porto Velho (RO)";"815"
"Cidade Jardim V - Porto Velho (RO)";"178"
"São Francisco I - Porto Velho (RO)";"510"
"Castanheira III - Porto Velho (RO)";"278"
"Castanheira II - Porto Velho (RO)";"965"
"Cidade do Lobo - Porto Velho (RO)";"752"
"Centro - Brasiléia (AC)";"512"
"Bairro 28 de Maio - Brasiléia (AC)";"535"
"Leonardo Barbosa - Brasiléia (AC)";"997"
"Loteamento José Lima - Brasiléia (AC)";"402"
"Invasão do Marcos Galvão - Brasiléia (AC)";"78"
"José Meireles - Brasiléia (AC)";"150"
"Invasão Nova Esperança - Brasiléia (AC)";"294"
"Invasão 30 de Julho - Brasiléia (AC)";"528"
"Samaúma 1 - Brasiléia (AC)";"176"
"Olegário França - Brasiléia (AC)";"182"
"Lagoa - Cruzeiro do Sul (AC)";"383"
"Cruzeirinho - Cruzeiro do Sul (AC)";"926"
"Manoel Terças - Cruzeiro do Sul (AC)";"326"
"Várzea - Cruzeiro do Sul (AC)";"1737"
"Miritizal de Cima - Cruzeiro do Sul (AC)";"2657"
"Miritizal de Baixo - Cruzeiro do Sul (AC)";"1267"
"Cohab - Cruzeiro do Sul (AC)";"1802"
"Remanso - Cruzeiro do Sul (AC)";"162"
"Tiro ao alvo - Cruzeiro do Sul (AC)";"516"
"25 de Agosto - Cruzeiro do Sul (AC)";"1078"
"João Alves - Cruzeiro do Sul (AC)";"1844"
