"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Idade";"Ano";"Cor ou raça";"Sexo";""
"Idade";"Ano";"Cor ou raça";"Sexo";"Brasil"
"6 meses";"2022";"Parda";"Homens";"43488"
"6 meses";"2022";"Parda";"Mulheres";"41938"
"6 meses";"2022";"Indígena";"Total";"2369"
"6 meses";"2022";"Indígena";"Homens";"1177"
"6 meses";"2022";"Indígena";"Mulheres";"1192"
"7 meses";"2022";"Total";"Total";"208207"
"7 meses";"2022";"Total";"Homens";"106062"
"7 meses";"2022";"Total";"Mulheres";"102145"
"7 meses";"2022";"Branca";"Total";"99866"
"7 meses";"2022";"Branca";"Homens";"51061"
"7 meses";"2022";"Branca";"Mulheres";"48805"
"7 meses";"2022";"Preta";"Total";"11465"
"7 meses";"2022";"Preta";"Homens";"5788"
"7 meses";"2022";"Preta";"Mulheres";"5677"
"7 meses";"2022";"Amarela";"Total";"385"
"7 meses";"2022";"Amarela";"Homens";"176"
"7 meses";"2022";"Amarela";"Mulheres";"209"
"7 meses";"2022";"Parda";"Total";"93954"
"7 meses";"2022";"Parda";"Homens";"47737"
"7 meses";"2022";"Parda";"Mulheres";"46217"
"7 meses";"2022";"Indígena";"Total";"2533"
"7 meses";"2022";"Indígena";"Homens";"1297"
"7 meses";"2022";"Indígena";"Mulheres";"1236"
"8 meses";"2022";"Total";"Total";"201339"
"8 meses";"2022";"Total";"Homens";"102804"
"8 meses";"2022";"Total";"Mulheres";"98535"
"8 meses";"2022";"Branca";"Total";"95837"
"8 meses";"2022";"Branca";"Homens";"49067"
"8 meses";"2022";"Branca";"Mulheres";"46770"
"8 meses";"2022";"Preta";"Total";"11138"
"8 meses";"2022";"Preta";"Homens";"5719"
"8 meses";"2022";"Preta";"Mulheres";"5419"
"8 meses";"2022";"Amarela";"Total";"401"
"8 meses";"2022";"Amarela";"Homens";"216"
"8 meses";"2022";"Amarela";"Mulheres";"185"
"8 meses";"2022";"Parda";"Total";"91558"
"8 meses";"2022";"Parda";"Homens";"46598"
"8 meses";"2022";"Parda";"Mulheres";"44960"
"8 meses";"2022";"Indígena";"Total";"2400"
"8 meses";"2022";"Indígena";"Homens";"1201"
"8 meses";"2022";"Indígena";"Mulheres";"1199"
"9 meses";"2022";"Total";"Total";"202651"
"9 meses";"2022";"Total";"Homens";"102974"
"9 meses";"2022";"Total";"Mulheres";"99677"
"9 meses";"2022";"Branca";"Total";"95096"
"9 meses";"2022";"Branca";"Homens";"48213"
"9 meses";"2022";"Branca";"Mulheres";"46883"
"9 meses";"2022";"Preta";"Total";"11823"
"9 meses";"2022";"Preta";"Homens";"6140"
"9 meses";"2022";"Preta";"Mulheres";"5683"
"9 meses";"2022";"Amarela";"Total";"377"
"9 meses";"2022";"Amarela";"Homens";"186"
"9 meses";"2022";"Amarela";"Mulheres";"191"
"9 meses";"2022";"Parda";"Total";"92915"
"9 meses";"2022";"Parda";"Homens";"47160"
"9 meses";"2022";"Parda";"Mulheres";"45755"
"9 meses";"2022";"Indígena";"Total";"2427"
"9 meses";"2022";"Indígena";"Homens";"1270"
"9 meses";"2022";"Indígena";"Mulheres";"1157"
"10 meses";"2022";"Total";"Total";"200290"
"10 meses";"2022";"Total";"Homens";"101629"
"10 meses";"2022";"Total";"Mulheres";"98661"
"10 meses";"2022";"Branca";"Total";"95255"
"10 meses";"2022";"Branca";"Homens";"48571"
"10 meses";"2022";"Branca";"Mulheres";"46684"
"10 meses";"2022";"Preta";"Total";"11353"
"10 meses";"2022";"Preta";"Homens";"5725"
"10 meses";"2022";"Preta";"Mulheres";"5628"
"10 meses";"2022";"Amarela";"Total";"396"
"10 meses";"2022";"Amarela";"Homens";"215"
"10 meses";"2022";"Amarela";"Mulheres";"181"
"10 meses";"2022";"Parda";"Total";"90846"
"10 meses";"2022";"Parda";"Homens";"45885"
"10 meses";"2022";"Parda";"Mulheres";"44961"
"10 meses";"2022";"Indígena";"Total";"2432"
"10 meses";"2022";"Indígena";"Homens";"1228"
"10 meses";"2022";"Indígena";"Mulheres";"1204"
"11 meses";"2022";"Total";"Total";"197016"
"11 meses";"2022";"Total";"Homens";"99954"
"11 meses";"2022";"Total";"Mulheres";"97062"
"11 meses";"2022";"Branca";"Total";"93134"
"11 meses";"2022";"Branca";"Homens";"47170"
"11 meses";"2022";"Branca";"Mulheres";"45964"
"11 meses";"2022";"Preta";"Total";"11598"
"11 meses";"2022";"Preta";"Homens";"5988"
"11 meses";"2022";"Preta";"Mulheres";"5610"
"11 meses";"2022";"Amarela";"Total";"423"
"11 meses";"2022";"Amarela";"Homens";"207"
"11 meses";"2022";"Amarela";"Mulheres";"216"
"11 meses";"2022";"Parda";"Total";"89463"
"11 meses";"2022";"Parda";"Homens";"45406"
"11 meses";"2022";"Parda";"Mulheres";"44057"
"11 meses";"2022";"Indígena";"Total";"2385"
"11 meses";"2022";"Indígena";"Homens";"1177"
"11 meses";"2022";"Indígena";"Mulheres";"1208"
"1 ano";"2022";"Total";"Total";"2353945"
"1 ano";"2022";"Total";"Homens";"1196973"
"1 ano";"2022";"Total";"Mulheres";"1156972"
"1 ano";"2022";"Branca";"Total";"1093024"
"1 ano";"2022";"Branca";"Homens";"555830"
"1 ano";"2022";"Branca";"Mulheres";"537194"
"1 ano";"2022";"Preta";"Total";"143231"
"1 ano";"2022";"Preta";"Homens";"73229"
"1 ano";"2022";"Preta";"Mulheres";"70002"
"1 ano";"2022";"Amarela";"Total";"4829"
"1 ano";"2022";"Amarela";"Homens";"2477"
"1 ano";"2022";"Amarela";"Mulheres";"2352"
"1 ano";"2022";"Parda";"Total";"1084986"
"1 ano";"2022";"Parda";"Homens";"551309"
"1 ano";"2022";"Parda";"Mulheres";"533677"
"1 ano";"2022";"Indígena";"Total";"27751"
"1 ano";"2022";"Indígena";"Homens";"14069"
"1 ano";"2022";"Indígena";"Mulheres";"13682"
"2 anos";"2022";"Total";"Total";"2563419"
"2 anos";"2022";"Total";"Homens";"1302109"
"2 anos";"2022";"Total";"Mulheres";"1261310"
"2 anos";"2022";"Branca";"Total";"1156433"
"2 anos";"2022";"Branca";"Homens";"586175"
"2 anos";"2022";"Branca";"Mulheres";"570258"
"2 anos";"2022";"Preta";"Total";"164812"
"2 anos";"2022";"Preta";"Homens";"84030"
"2 anos";"2022";"Preta";"Mulheres";"80782"
"2 anos";"2022";"Amarela";"Total";"5512"
"2 anos";"2022";"Amarela";"Homens";"2796"
"2 anos";"2022";"Amarela";"Mulheres";"2716"
"2 anos";"2022";"Parda";"Total";"1208528"
"2 anos";"2022";"Parda";"Homens";"614783"
"2 anos";"2022";"Parda";"Mulheres";"593745"
"2 anos";"2022";"Indígena";"Total";"28027"
"2 anos";"2022";"Indígena";"Homens";"14270"
"2 anos";"2022";"Indígena";"Mulheres";"13757"
"3 anos";"2022";"Total";"Total";"2699784"
"3 anos";"2022";"Total";"Homens";"1373855"
"3 anos";"2022";"Total";"Mulheres";"1325929"
"3 anos";"2022";"Branca";"Total";"1192333"
"3 anos";"2022";"Branca";"Homens";"604494"
"3 anos";"2022";"Branca";"Mulheres";"587839"
"3 anos";"2022";"Preta";"Total";"179732"
"3 anos";"2022";"Preta";"Homens";"91932"
"3 anos";"2022";"Preta";"Mulheres";"87800"
"3 anos";"2022";"Amarela";"Total";"6002"
"3 anos";"2022";"Amarela";"Homens";"3018"
"3 anos";"2022";"Amarela";"Mulheres";"2984"
"3 anos";"2022";"Parda";"Total";"1293140"
"3 anos";"2022";"Parda";"Homens";"659831"
"3 anos";"2022";"Parda";"Mulheres";"633309"
"3 anos";"2022";"Indígena";"Total";"28471"
"3 anos";"2022";"Indígena";"Homens";"14527"
"3 anos";"2022";"Indígena";"Mulheres";"13944"
"4 anos";"2022";"Total";"Total";"2729447"
"4 anos";"2022";"Total";"Homens";"1391484"
"4 anos";"2022";"Total";"Mulheres";"1337963"
"4 anos";"2022";"Branca";"Total";"1190253"
"4 anos";"2022";"Branca";"Homens";"605046"
"4 anos";"2022";"Branca";"Mulheres";"585207"
"4 anos";"2022";"Preta";"Total";"187895"
"4 anos";"2022";"Preta";"Homens";"96032"
"4 anos";"2022";"Preta";"Mulheres";"91863"
"4 anos";"2022";"Amarela";"Total";"6283"
"4 anos";"2022";"Amarela";"Homens";"3223"
"4 anos";"2022";"Amarela";"Mulheres";"3060"
"4 anos";"2022";"Parda";"Total";"1317075"
"4 anos";"2022";"Parda";"Homens";"672912"
"4 anos";"2022";"Parda";"Mulheres";"644163"
"4 anos";"2022";"Indígena";"Total";"27815"
"4 anos";"2022";"Indígena";"Homens";"14203"
"4 anos";"2022";"Indígena";"Mulheres";"13612"
"5 a 9 anos";"2022";"Total";"Total";"13749440"
"5 a 9 anos";"2022";"Total";"Homens";"7011282"
"5 a 9 anos";"2022";"Total";"Mulheres";"6738158"
"5 a 9 anos";"2022";"Branca";"Total";"5734804"
"5 a 9 anos";"2022";"Branca";"Homens";"2919649"
"5 a 9 anos";"2022";"Branca";"Mulheres";"2815155"
"5 a 9 anos";"2022";"Preta";"Total";"1020633"
"5 a 9 anos";"2022";"Preta";"Homens";"523883"
"5 a 9 anos";"2022";"Preta";"Mulheres";"496750"
"5 a 9 anos";"2022";"Amarela";"Total";"33191"
"5 a 9 anos";"2022";"Amarela";"Homens";"17081"
"5 a 9 anos";"2022";"Amarela";"Mulheres";"16110"
"5 a 9 anos";"2022";"Parda";"Total";"6824824"
"5 a 9 anos";"2022";"Parda";"Homens";"3481113"
"5 a 9 anos";"2022";"Parda";"Mulheres";"3343711"
"5 a 9 anos";"2022";"Indígena";"Total";"135440"
"5 a 9 anos";"2022";"Indígena";"Homens";"69275"
"5 a 9 anos";"2022";"Indígena";"Mulheres";"66165"
"5 anos";"2022";"Total";"Total";"2640786"
"5 anos";"2022";"Total";"Homens";"1345642"
"5 anos";"2022";"Total";"Mulheres";"1295144"
"5 anos";"2022";"Branca";"Total";"1134636"
